symbol,name,lastsale,marketcap,ipoyear,sector,industry
IRDM,Iridium Communications Inc,23.45,3070000000.0,,Capital Goods,Telecommunications Equipment
IRBT,iRobot Corporation,69.15,1940000000.0,2005.0,Consumer Durables,Consumer Electronics/Appliances
IRWD,"Ironwood Pharmaceuticals, Inc.",9.56,1500000000.0,2010.0,Health Care,Major Pharmaceuticals
IRCP,IRSA Propiedades Comerciales S.A.,19.45,612740000.0,,Consumer Services,Building operators
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,51.0,1900000000.0,,,
ISHG,iShares 1-3 Year International Treasury Bond ETF,79.2647,67370000.0,,,
SHY,iShares 1-3 Year Treasury Bond ETF,84.86,16860000000.0,,,
TLT,iShares 20+ Year Treasury Bond ETF,140.32,15000000000.0,,,
IEI,iShares 3-7 Year Treasury Bond ETF,126.89,7490000000.0,,,
IEF,iShares 7-10 Year Treasury Bond ETF,112.3,17010000000.000002,,,
AIA,iShares Asia 50 ETF,57.07,1020000000.0,,,
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,57.85,3510000000.0,,,
COMT,iShares Commodities Select Strategy ETF,31.18,414690000.0,,,
ISTB,iShares Core 1-5 Year USD Bond ETF,50.47,2710000000.0,,,
IXUS,iShares Core MSCI Total International Stock ETF,56.46,15100000000.0,,,
IUSG,iShares Core S&P U.S. Growth ETF,63.04,6680000000.0,,,
IUSV,iShares Core S&P U.S. Value ETF,56.27,5670000000.0,,,
IUSB,iShares Core Total USD Bond Market ETF,52.235,3870000000.0,,,
HEWG,iShares Currency Hedged MSCI Germany ETF,25.885,156600000.0,,,
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,25.41,110530000.0,,,
ESGD,iShares ESG MSCI EAFE ETF,62.23,871220000.0,,,
ESGE,iShares ESG MSCI EM ETF,32.13,674730000.0,,,
ESGU,iShares ESG MSCI USA ETF,64.59,271280000.0,,,
SUSL,iShares ESG MSCI USA Leaders ETF,49.3626,1380000000.0,,,
SUSC,iShares ESG USD Corporate Bond ETF,26.21,43250000.0,,,
XT,iShares Exponential Technologies ETF,38.46,2530000000.0,,,
FALN,iShares Fallen Angels USD Bond ETF,26.56,107570000.0,,,
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,35.75,25030000.0,,,
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,29.295,389620000.0,,,
BGRN,iShares Global Green Bond ETF,55.53,27770000.0,,,
IGF,iShares Global Infrastructure ETF,45.2,3140000000.0,,,
GNMA,iShares GNMA Bond ETF,50.24,150720000.0,,,
HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,51.34,12840000.0,,,
IGIB,iShares Intermediate-Term Corporate Bond ETF,57.6,6960000000.0,,,
IGOV,iShares International Treasury Bond ETF,51.2,1020000000.0,,,
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,114.5,15500000000.0,,,
MBB,iShares MBS ETF,108.06,18100000000.0,,,
JKI,iShares Morningstar Mid-Cap ETF,156.3991,461380000.0,,,
ACWX,iShares MSCI ACWI ex US Index Fund,44.99,3760000000.0,,,
ACWI,iShares MSCI ACWI Index Fund,72.51,10640000000.0,,,
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,65.02,3760000000.0,,,
EWZS,iShares MSCI Brazil Small-Cap ETF,18.3,101570000.0,,,
MCHI,iShares MSCI China ETF,55.34,3800000000.0,,,
SCZ,iShares MSCI EAFE Small-Cap ETF,55.84,9260000000.0,,,
EEMA,iShares MSCI Emerging Markets Asia ETF,61.79,460340000.0,,,
EMXC,iShares MSCI Emerging Markets ex China ETF,47.009,28210000.0,,,
EUFN,iShares MSCI Europe Financials Sector Index Fund,16.875,996470000.0,,,
IEUS,iShares MSCI Europe Small-Cap ETF,47.93,134199999.99999999,,,
RING,iShares MSCI Global Gold Miners ETF,23.62,271630000.0,,,
SDG,iShares MSCI Global Impact ETF,56.7337,53900000.0,,,
EWJE,iShares MSCI Japan Equal Weighted ETF,32.3,6460000.0,,,
EWJV,iShares MSCI Japan Value ETF,23.43,7030000.0,,,
ENZL,iShares MSCI New Zealand ETF,54.21,203290000.0,,,
QAT,iShares MSCI Qatar ETF,16.88,48950000.0,,,
TUR,iShares MSCI Turkey ETF,25.97,355790000.0,,,
UAE,iShares MSCI UAE ETF,14.05,48470000.0,,,
IBB,iShares Nasdaq Biotechnology Index Fund,105.84,7090000000.0,,,
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,202.76,1470000000.0,,,
PFF,iShares Preferred and Income Securities ETF,37.02,16070000000.0,,,
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,28.29,11320000.0,,,
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,28.38,24120000.0,,,
ICLN,iShares S&P Global Clean Energy Index Fund,10.99,295630000.0,,,
WOOD,iShares S&P Global Timber & Forestry Index Fund,54.31,208550000.0,,,
INDY,iShares S&P India Nifty 50 Index Fund,35.55,762550000.0,,,
IJT,iShares S&P Small-Cap 600 Growth ETF,181.55,5360000000.0,,,
DVY,iShares Select Dividend ETF,98.46,17160000000.0,,,
SHV,iShares Short Treasury Bond ETF,110.54,24120000000.0,,,
IGSB,iShares Short-Term Corporate Bond ETF,53.55,12710000000.0,,,
ISRL,"Isramco, Inc.",121.49,330170000.0,1983.0,Energy,Oil & Gas Production
ITMR,Itamar Medical Ltd.,9.89,110080000.0,,Health Care,Medical/Dental Instruments
ITI,"Iteris, Inc.",5.335,216010000.0,,Capital Goods,Telecommunications Equipment
ITRM,Iterum Therapeutics plc,6.78,97420000.0,2018.0,Health Care,Major Pharmaceuticals
ITRI,"Itron, Inc.",69.05,2720000000.0,1993.0,Capital Goods,Electrical Products
ITRN,Ituran Location and Control Ltd.,28.835,676910000.0,2005.0,Technology,Electronic Components
ISEE,"IVERIC bio, Inc.",1.19,49360000.0,2013.0,Health Care,Major Pharmaceuticals
IVENC,Ivy NextShares,100.02,45000000.0,,,
IVFGC,Ivy NextShares,100.02,43010000.0,,,
IVFVC,Ivy NextShares,99.89,44950000.0,,,
IZEA,"IZEA Worldwide, Inc.",0.4761,16430000.0,,Consumer Services,Advertising
JJSF,J & J Snack Foods Corp.,186.15,3510000000.0,1986.0,Consumer Non-Durables,Specialty Foods
MAYS,"J. W. Mays, Inc.",35.85,72270000.0,,Consumer Services,Building operators
JBHT,"J.B. Hunt Transport Services, Inc.",99.27,10600000000.0,,Transportation,Trucking Freight/Courier Services
JCOM,"j2 Global, Inc.",82.135,4019999999.9999995,1999.0,Technology,Telecommunications Equipment
JKHY,"Jack Henry & Associates, Inc.",140.88,10880000000.0,1985.0,Technology,EDP Services
JACK,Jack In The Box Inc.,86.97,2240000000.0,,Consumer Services,Restaurants
JAGX,"Jaguar Health, Inc.",1.59,8850000.0,2015.0,Health Care,Major Pharmaceuticals
JAKK,"JAKKS Pacific, Inc.",0.8,23570000.0,1996.0,Consumer Non-Durables,Recreational Products/Toys
JRVR,"James River Group Holdings, Ltd.",48.38,1470000000.0,2014.0,Finance,Property-Casualty Insurers
JSML,Janus Henderson Small Cap Growth Alpha ETF,42.6975,36380000.0,,,
JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,44.8545,96530000.0,,,
JASN,"Jason Industries, Inc.",0.5597,15720000.0,2013.0,Consumer Durables,Miscellaneous manufacturing industries
JAZZ,Jazz Pharmaceuticals plc,137.14,7820000000.0,2007.0,Health Care,Major Pharmaceuticals
JD,"JD.com, Inc.",27.54,39860000000.0,2014.0,Consumer Services,Other Specialty Stores
JRSH,"Jerash Holdings (US), Inc.",6.864,77730000.0,2018.0,Consumer Non-Durables,Apparel
JBLU,JetBlue Airways Corporation,19.69,5830000000.0,2002.0,Transportation,Air Freight/Delivery Services
JCTCF,Jewett-Cameron Trading Company,7.851,31240000.0,,Consumer Services,RETAIL: Building Materials
JFIN,Jiayin Group Inc.,12.5,668750000.0,2019.0,Finance,Finance: Consumer Services
JMU,JMU Limited,1.1403,9350000.0,2015.0,Technology,EDP Services
JBSS,"John B. Sanfilippo & Son, Inc.",80.36,915210000.0,1991.0,Consumer Non-Durables,Specialty Foods
JOUT,Johnson Outdoors Inc.,60.83,611350000.0,,Consumer Non-Durables,Recreational Products/Toys
JNCE,"Jounce Therapeutics, Inc.",4.19,138150000.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KALU,Kaiser Aluminum Corporation,94.3,1510000000.0,,Capital Goods,Metal Fabrications
KXIN,Kaixin Auto Holdings,1.5,92030000.0,2017.0,Consumer Durables,Automotive Aftermarket
KALA,"Kala Pharmaceuticals, Inc.",4.6,155860000.0,2017.0,Health Care,Major Pharmaceuticals
KLDO,"Kaleido Biosciences, Inc.",8.48,252980000.0,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KALV,"KalVista Pharmaceuticals, Inc.",16.0,278210000.0,2015.0,Health Care,Major Pharmaceuticals
KMDA,Kamada Ltd.,5.6,225650000.0,2013.0,Health Care,Major Pharmaceuticals
KNDI,"Kandi Technologies Group, Inc.",5.041,265060000.0,,Capital Goods,Auto Manufacturing
KRTX,"Karuna Therapeutics, Inc.",18.11,424000000.0,2019.0,Health Care,Major Pharmaceuticals
KPTI,Karyopharm Therapeutics Inc.,9.13,555690000.0,2013.0,Health Care,Major Pharmaceuticals
KZIA,Kazia Therapeutics Limited,2.48,15420000.0,,Health Care,Major Pharmaceuticals
KBLM,KBL Merger Corp. IV,10.53,86010000.0,2017.0,Finance,Business Services
KBLMR,KBL Merger Corp. IV,0.29,,2017.0,Finance,Business Services
KBLMU,KBL Merger Corp. IV,10.9832,,2017.0,Finance,Business Services
KBLMW,KBL Merger Corp. IV,0.155,,2017.0,Finance,Business Services
KBSF,KBS Fashion Group Limited,2.4899,6450000.0,2013.0,Consumer Non-Durables,Apparel
KRNY,Kearny Financial,12.9,1170000000.0,,Finance,Savings Institutions
KELYA,"Kelly Services, Inc.",28.44,1110000000.0,,Technology,Professional Services
KELYB,"Kelly Services, Inc.",28.0,1090000000.0,,Technology,Professional Services
KMPH,"KemPharm, Inc.",1.305,37220000.0,2015.0,Health Care,Major Pharmaceuticals
KFFB,Kentucky First Federal Bancorp,7.92,65970000.0,,Finance,Savings Institutions
KEQU,Kewaunee Scientific Corporation,16.67,45840000.0,,Capital Goods,Medical Specialities
KTCC,Key Tronic Corporation,5.647,60760000.0,1983.0,Technology,Computer peripheral equipment
KZR,"Kezar Life Sciences, Inc.",4.7,89860000.0,2018.0,Health Care,Major Pharmaceuticals
KFRC,"Kforce, Inc.",34.7,841650000.0,1995.0,Technology,Professional Services
KE,"Kimball Electronics, Inc.",15.04,382300000.0,,Technology,Electrical Products
KBAL,"Kimball International, Inc.",16.95,622440000.0,,Consumer Durables,Home Furnishings
KIN,"Kindred Biosciences, Inc.",7.42,289830000.0,2013.0,Health Care,Major Pharmaceuticals
KGJI,Kingold Jewelry Inc.,0.6733,44510000.0,,Miscellaneous,Business Services
KINS,"Kingstone Companies, Inc",7.85,84570000.0,,Finance,Property-Casualty Insurers
KNSA,"Kiniksa Pharmaceuticals, Ltd.",11.39,216550000.0,2018.0,Health Care,Major Pharmaceuticals
KNSL,"Kinsale Capital Group, Inc.",93.06,1990000000.0,2016.0,Finance,Property-Casualty Insurers
KIRK,"Kirkland&#39;s, Inc.",1.53,21670000.0,2002.0,Consumer Services,Other Specialty Stores
KTOV,Kitov Pharma Ltd.,0.7479,14540000.0,2015.0,Health Care,Major Pharmaceuticals
KTOVW,Kitov Pharma Ltd.,0.1298,,2015.0,Health Care,Major Pharmaceuticals
KLAC,KLA Corporation ,137.36,22200000000.0,1980.0,Capital Goods,Electronic Components
KLXE,"KLX Energy Services Holdings, Inc. ",11.97,277090000.0,,Energy,Oilfield Services/Equipment
KOD,Kodiak Sciences Inc,11.71,432240000.0,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KOPN,Kopin Corporation,1.1,92550000.0,1992.0,Technology,Semiconductors
KRNT,Kornit Digital Ltd.,27.95,1130000000.0,2015.0,Capital Goods,Industrial Machinery/Components
KOSS,Koss Corporation,1.95,14440000.0,,Consumer Non-Durables,Consumer Electronics/Appliances
KWEB,KraneShares Trust KraneShares CSI China Internet ETF,39.86,135520000.0,,,
KTOS,"Kratos Defense & Security Solutions, Inc.",19.54,2069999999.9999998,,Capital Goods,Military/Government/Technical
KRYS,"Krystal Biotech, Inc.",43.64,754990000.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KLIC,"Kulicke and Soffa Industries, Inc.",21.22,1350000000.0,,Technology,Semiconductors
KURA,"Kura Oncology, Inc.",19.49,881240000.0,,Health Care,Major Pharmaceuticals
KRUS,"Kura Sushi USA, Inc.",20.806,164370000.0,2019.0,Consumer Services,Restaurants
KVHI,"KVH Industries, Inc.",9.31,167840000.0,1996.0,Technology,Radio And Television Broadcasting And Communications Equipment
FSTR,L.B. Foster Company,23.85,252500000.0,,Basic Industries,Metal Fabrications
LJPC,La Jolla Pharmaceutical Company,8.9,241450000.0,1994.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LSBK,"Lake Shore Bancorp, Inc.",14.98,89250000.0,,Finance,Savings Institutions
LBAI,"Lakeland Bancorp, Inc.",15.33,773260000.0,,Finance,Major Banks
LKFN,Lakeland Financial Corporation,43.24,1100000000.0,,Finance,Major Banks
LAKE,"Lakeland Industries, Inc.",11.44,91680000.0,1986.0,Health Care,Industrial Specialties
LRCX,Lam Research Corporation,201.39,29090000000.0,1984.0,Technology,Industrial Machinery/Components
LAMR,Lamar Advertising Company,79.3,7930000000.0,1996.0,Consumer Services,Real Estate Investment Trusts
LANC,Lancaster Colony Corporation,153.93,4230000000.0000005,,Consumer Non-Durables,Packaged Foods
LCA,"Landcadia Holdings II, Inc.",9.74,308030000.0,2019.0,Finance,Business Services
LCAHU,"Landcadia Holdings II, Inc.",10.02,250500000.0,2019.0,Finance,Business Services
LCAHW,"Landcadia Holdings II, Inc.",0.85,,2019.0,Finance,Business Services
LNDC,Landec Corporation,11.4,332270000.0,1996.0,Consumer Non-Durables,Packaged Foods
LARK,Landmark Bancorp Inc.,22.38,97850000.0,,Finance,Major Banks
LMRK,Landmark Infrastructure Partners LP,16.18,409980000.0,2014.0,Consumer Services,Real Estate
LMRKN,Landmark Infrastructure Partners LP,24.99,49980000.0,,Consumer Services,Real Estate
LMRKO,Landmark Infrastructure Partners LP,25.15,61940000.0,,Consumer Services,Real Estate
LMRKP,Landmark Infrastructure Partners LP,25.95,41340000.0,,Consumer Services,Real Estate
LE,"Lands&#39; End, Inc.",9.98,323020000.0,,Consumer Services,Clothing/Shoe/Accessory Stores
LSTR,"Landstar System, Inc.",111.13,4400000000.0,1993.0,Transportation,Trucking Freight/Courier Services
LNTH,"Lantheus Holdings, Inc.",23.49,917980000.0,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LTRX,"Lantronix, Inc.",3.55,79740000.0,2000.0,Technology,Computer Communications Equipment
LSCC,Lattice Semiconductor Corporation,19.36,2570000000.0,,Technology,Semiconductors
LAUR,"Laureate Education, Inc.",16.97,3810000000.0,2017.0,Consumer Services,Other Consumer Services
LAWS,"Lawson Products, Inc.",40.25,361820000.0,,Consumer Durables,Industrial Specialties
LAZY,"Lazydays Holdings, Inc.",5.02,42530000.0,,Consumer Durables,Automotive Aftermarket
LCNB,LCNB Corporation,17.075,221610000.0,,Finance,Major Banks
LPTX,"LEAP THERAPEUTICS, INC.",1.58,36430000.0,,Health Care,Major Pharmaceuticals
LEGH,Legacy Housing Corporation,12.88,318430000.0,2018.0,Basic Industries,Homebuilding
LTXB,"LegacyTexas Financial Group, Inc.",41.02,2000000000.0,,Finance,Savings Institutions
INFR,Legg Mason Global Infrastructure ETF,29.23,35080000.0,,,
LVHD,Legg Mason Low Volatility High Dividend ETF,32.22,634790000.0,,,
SQLV,Legg Mason Small-Cap Quality Value ETF,24.649,3700000.0,,,
LACQ,Leisure Acquisition Corp.,10.22,255500000.0,2017.0,Finance,Business Services
LACQU,Leisure Acquisition Corp.,10.55,,2017.0,Finance,Business Services
LACQW,Leisure Acquisition Corp.,0.85,,2017.0,Finance,Business Services
LMAT,"LeMaitre Vascular, Inc.",32.63,641870000.0,2006.0,Health Care,Medical/Dental Instruments
TREE,"LendingTree, Inc.",315.75,4099999999.9999995,,Finance,Finance: Consumer Services
LEVL,"Level One Bancorp, Inc.",23.415,180960000.0,2018.0,Finance,Major Banks
LXRX,"Lexicon Pharmaceuticals, Inc.",1.295,137620000.0,,Health Care,Major Pharmaceuticals
LX,LexinFintech Holdings Ltd.,10.66,1870000000.0,2017.0,Finance,Finance: Consumer Services
LFAC,LF Capital Acquistion Corp.,10.21,198140000.0,2018.0,Finance,Business Services
LFACU,LF Capital Acquistion Corp.,10.36,,2018.0,Finance,Business Services
LFACW,LF Capital Acquistion Corp.,0.35,,2018.0,Finance,Business Services
LGIH,"LGI Homes, Inc.",76.01,1740000000.0,2013.0,Capital Goods,Homebuilding
LHCG,LHC Group,122.16,3850000000.0,2005.0,Health Care,Medical/Nursing Services
LLIT,Lianluo Smart Limited,1.0,17810000.0,,Health Care,Medical/Dental Instruments
LBRDA,Liberty Broadband Corporation,98.35,17850000000.0,,Consumer Services,Television Services
LBRDK,Liberty Broadband Corporation,100.42,18230000000.0,,Consumer Services,Television Services
LBTYA,Liberty Global plc,25.82,19050000000.0,,Consumer Services,Television Services
LBTYB,Liberty Global plc,27.2,20060000000.0,,Consumer Services,Television Services
LBTYK,Liberty Global plc,25.57,18860000000.0,,Consumer Services,Television Services
LILA,Liberty Latin America Ltd.,17.01,827490000.0,,Consumer Services,Television Services
LILAK,Liberty Latin America Ltd.,17.07,2230000000.0,,Consumer Services,Television Services
BATRA,Liberty Media Corporation,28.71,1460000000.0,,Consumer Services,Broadcasting
BATRK,Liberty Media Corporation,28.57,1460000000.0,,Consumer Services,Broadcasting
FWONA,Liberty Media Corporation,39.17,9050000000.0,,Consumer Services,Broadcasting
FWONK,Liberty Media Corporation,41.1,9500000000.0,,Consumer Services,Broadcasting
LSXMA,Liberty Media Corporation,41.32,13210000000.0,,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation,41.32,13210000000.0,,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation,41.8,13360000000.0,,Consumer Services,Broadcasting
LTRPA,"Liberty TripAdvisor Holdings, Inc.",11.03,828090000.0,,Technology,EDP Services
LTRPB,"Liberty TripAdvisor Holdings, Inc.",12.0,900920000.0,,Technology,EDP Services
LCUT,"Lifetime Brands, Inc.",7.92,165700000.0,1991.0,Capital Goods,Industrial Machinery/Components
LFVN,Lifevantage Corporation,10.88,156020000.0,,Health Care,Major Pharmaceuticals
LWAY,"Lifeway Foods, Inc.",3.19,50390000.0,,Consumer Non-Durables,Packaged Foods
LGND,Ligand Pharmaceuticals Incorporated,93.93,1840000000.0,,Health Care,Major Pharmaceuticals
LTBR,Lightbridge Corporation,0.71,25900000.0,,Consumer Services,Professional Services
LPTH,"LightPath Technologies, Inc.",0.7407,19120000.0,1996.0,Technology,Semiconductors
LLEX,"Lilis Energy, Inc.",0.3198,29330000.0,,Energy,Oil & Gas Production
LMB,"Limbach Holdings, Inc.",7.88,60230000.0,,Basic Industries,Engineering & Construction
LLNW,"Limelight Networks, Inc.",2.53,293990000.0,2007.0,Miscellaneous,Business Services
LMST,"Limestone Bancorp, Inc.",15.2,113550000.0,,Finance,Major Banks
LMNR,Limoneira Co,18.85,335020000.0,,Consumer Non-Durables,Farming/Seeds/Milling
LINC,Lincoln Educational Services Corporation,1.79,45170000.0,2005.0,Consumer Services,Other Consumer Services
LECO,"Lincoln Electric Holdings, Inc.",84.92,5250000000.0,,Technology,Industrial Machinery/Components
LIND,Lindblad Expeditions Holdings Inc. ,18.985,942180000.0,2013.0,Consumer Services,Transportation Services
LPCN,Lipocine Inc.,1.9,46690000.0,,Health Care,Major Pharmaceuticals
LIQT,"LiqTech International, Inc.",8.03,164770000.0,,Technology,Industrial Machinery/Components
YVR,Liquid Media Group Ltd.,1.61,6740000.0,,Technology,Computer Software: Prepackaged Software
LQDA,"Liquidia Technologies, Inc.",7.335,136740000.0,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LQDT,"Liquidity Services, Inc.",6.88,231520000.0,2006.0,Miscellaneous,Business Services
LFUS,"Littelfuse, Inc.",158.81,3900000000.0,,Consumer Durables,Electrical Products
LIVN,LivaNova PLC,81.56,3950000000.0,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LOB,"Live Oak Bancshares, Inc.",18.58,746610000.0,2015.0,Finance,Major Banks
LIVE,Live Ventures Incorporated,6.47,12840000.0,,Finance,Finance/Investors Services
LPSN,"LivePerson, Inc.",38.32,2510000000.0,2000.0,Technology,Computer Software: Prepackaged Software
LIVX,"LiveXLive Media, Inc.",2.95,155170000.0,,Consumer Services,Restaurants
LVGO,"Livongo Health, Inc.",33.25,3020000000.0,2019.0,Health Care,Hospital/Nursing Management
LKQ,LKQ Corporation,25.94,7990000000.0,,Consumer Services,Motor Vehicles
LMFA,"LM Funding America, Inc.",1.0166,3150000.0,2015.0,Finance,Finance: Consumer Services
LMFAW,"LM Funding America, Inc.",0.0081,,2015.0,Finance,Finance: Consumer Services
LOGC,"LogicBio Therapeutics, Inc.",10.5,236190000.0,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LOGI,Logitech International S.A.,39.6,6590000000.0,1997.0,Technology,Computer peripheral equipment
LOGM,"LogMein, Inc.",72.46,3580000000.0,2009.0,Technology,Computer Software: Prepackaged Software
CNCR,Loncar Cancer Immunotherapy ETF,20.5437,36980000.0,,,
CHNA,Loncar China BioPharma ETF,21.4993,3760000.0,,,
LONE,Lonestar Resources US Inc.,2.93,73340000.0,,Energy,Oil & Gas Production
LOAC,Longevity Acquisition Corporation,10.1693,53590000.0,2018.0,Finance,Business Services
LOACR,Longevity Acquisition Corporation,0.2001,,2018.0,Finance,Business Services
LOACU,Longevity Acquisition Corporation,10.4,,2018.0,Finance,Business Services
LOACW,Longevity Acquisition Corporation,0.1002,,2018.0,Finance,Business Services
LOOP,"Loop Industries, Inc.",13.25,516919999.99999994,,Basic Industries,Major Chemicals
LORL,"Loral Space and Communications, Inc.",38.7,1200000000.0,,Technology,Radio And Television Broadcasting And Communications Equipment
LPLA,LPL Financial Holdings Inc.,76.33,6280000000.0,2010.0,Finance,Investment Bankers/Brokers/Service
LRAD,LRAD Corporation,4.12,134199999.99999999,,Consumer Non-Durables,Consumer Electronics/Appliances
LYTS,LSI Industries Inc.,4.18,108420000.0,1985.0,Consumer Durables,Building Products
LK,Luckin Coffee Inc.,24.09,5670000000.0,2019.0,Consumer Services,Restaurants
LULU,lululemon athletica inc.,186.41,24280000000.0,2007.0,Consumer Non-Durables,Apparel
LITE,Lumentum Holdings Inc.,60.67,4640000000.0,,Capital Goods,Telecommunications Equipment
LMNX,Luminex Corporation,21.19,954550000.0,2000.0,Health Care,Medical/Dental Instruments
LUNA,Luna Innovations Incorporated,5.6317,158510000.0,2006.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
LKCO,Luokung Technology Corp,9.365,1880000000.0,,Technology,EDP Services
LBC,Luther Burbank Corporation,10.55,590620000.0,2003.0,Finance,Major Banks
LYFT,"Lyft, Inc.",62.1,18050000000.0,2019.0,Miscellaneous,Business Services
MBTF,M B T Financial Corp,10.19,234740000.0,,Finance,Major Banks
MCBC,Macatawa Bank Corporation,10.04,342010000.0,,Finance,Major Banks
MFNC,Mackinac Financial Corporation,14.38,154450000.0,,Finance,Major Banks
MTSI,"MACOM Technology Solutions Holdings, Inc.",20.48,1350000000.0,2012.0,Technology,Semiconductors
MGNX,"MacroGenics, Inc.",14.58,712870000.0,2013.0,Health Care,Major Pharmaceuticals
MDGL,"Madrigal Pharmaceuticals, Inc.",90.42,1390000000.0,,Health Care,Major Pharmaceuticals
MAGS,Magal Security Systems Ltd.,4.67,108130000.0,1993.0,Capital Goods,Telecommunications Equipment
MGLN,"Magellan Health, Inc.",69.52,1700000000.0,,Health Care,Hospital/Nursing Management
MGTA,"Magenta Therapeutics, Inc.",13.3,522620000.0,2018.0,Health Care,Major Pharmaceuticals
MGIC,Magic Software Enterprises Ltd.,8.91,435620000.0,1991.0,Technology,Computer Software: Prepackaged Software
MGYR,"Magyar Bancorp, Inc.",11.55,67230000.0,,Finance,Savings Institutions
MHLD,"Maiden Holdings, Ltd.",0.5802,48180000.0,,Finance,Property-Casualty Insurers
MNSB,"MainStreet Bancshares, Inc.",21.85,180270000.0,,Finance,Major Banks
MJCO,Majesco,8.66,371820000.0,,Technology,Computer Software: Prepackaged Software
MMYT,MakeMyTrip Limited,23.2,2390000000.0,2010.0,Consumer Services,Transportation Services
MBUU,"Malibu Boats, Inc.",28.29,589880000.0,2014.0,Capital Goods,Marine Transportation
MLVF,"Malvern Bancorp, Inc.",20.85,161950000.0,,Finance,Savings Institutions
MAMS,"MAM Software Group, Inc.",10.9,137500000.0,,Technology,Computer Software: Prepackaged Software
TUSK,"Mammoth Energy Services, Inc.",4.26,191720000.0,2016.0,Energy,Oilfield Services/Equipment
MANH,"Manhattan Associates, Inc.",85.46,5500000000.0,1998.0,Technology,Computer Software: Prepackaged Software
LOAN,"Manhattan Bridge Capital, Inc",6.29,60750000.0,,Consumer Services,Real Estate Investment Trusts
MNTX,"Manitex International, Inc.",6.1,120060000.0,,Technology,Industrial Machinery/Components
MTEX,"Mannatech, Incorporated",16.625,39820000.0,,Consumer Durables,Specialty Chemicals
MNKD,MannKind Corporation,1.09,204680000.0,2004.0,Health Care,Major Pharmaceuticals
MANT,ManTech International Corporation,70.44,3780000000.0,2002.0,Consumer Services,Other Consumer Services
MARA,"Marathon Patent Group, Inc.",2.11,13470000.0,,Miscellaneous,Multi-Sector Companies
MCHX,"Marchex, Inc.",3.59,152060000.0,2004.0,Miscellaneous,Business Services
MRIN,Marin Software Incorporated,2.09,12560000.0,,Technology,EDP Services
MARPS,Marine Petroleum Trust,2.27,4540000.0,,Energy,Oil & Gas Production
MRNS,"Marinus Pharmaceuticals, Inc.",1.18,62010000.0,2014.0,Health Care,Major Pharmaceuticals
MRKR,"Marker Therapeutics, Inc.",4.45,202410000.0,,Health Care,Major Pharmaceuticals
MKTX,"MarketAxess Holdings, Inc.",352.34,13300000000.0,2004.0,Finance,Investment Bankers/Brokers/Service
MRLN,Marlin Business Services Corp.,23.25,284590000.0,2003.0,Finance,Major Banks
MAR,Marriott International,130.29,43390000000.0,,Consumer Services,Hotels/Resorts
MBII,"Marrone Bio Innovations, Inc.",1.4,155010000.0,2013.0,Basic Industries,Agricultural Chemicals
MRTN,"Marten Transport, Ltd.",19.61,1070000000.0000001,1986.0,Transportation,Trucking Freight/Courier Services
MMLP,Martin Midstream Partners L.P.,4.86,188880000.0,2002.0,Energy,Oil Refining/Marketing
MRVL,Marvell Technology Group Ltd.,25.36,16760000000.000002,2000.0,Technology,Semiconductors
MASI,Masimo Corporation,155.89,8310000000.000001,2007.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MCFT,"MasterCraft Boat Holdings, Inc.",15.08,282360000.0,2015.0,Capital Goods,Marine Transportation
MTCH,"Match Group, Inc.",87.17,24510000000.0,2015.0,Technology,"Computer Software: Programming, Data Processing"
MTLS,Materialise NV,17.9,946740000.0,2014.0,Technology,Computer Software: Prepackaged Software
MTRX,Matrix Service Company,18.53,496740000.0,1990.0,Basic Industries,Engineering & Construction
MAT,"Mattel, Inc.",13.44,4640000000.0,,Consumer Non-Durables,Recreational Products/Toys
